item_code,food_name_english,food_name_hindi,food_type,food_category,slots,calories,carbs,fat,protein,fiber,food_season,Score,Special_slot,food_community,food_avoid_in_disorders,food_recommend_in_disorders,remarks,Detox_rank,Special_diet,code,remarks,courtesy,recipe,steps,video,gluten_free,source,portion,portion_unit,country,Diabetes_score,Diabetes_special,blood_pressure_Score,blood_pressure_special,Cholestrol_score,Cholestrol_special,PCOS_score,PCOS_special,net_carbs,WeightlossPlus_score,WeightlossPlus_special,muscle_building_score,special_slot_muscle_building_morning,special_slot_muscle_building_evening,Keto_Score,Keto_Slot,Hypothyroid_Score,Hypothyroid_Slot,Anti_Inflammatory_Score,Anti_Inflammatory_Slot,Fatty_Liver_Score,Fatty_Liver_Slot,Anemia_Score,Acidity_Score,Sleep_Score,Uric_Acid_Score,Calcium,Vitamin_D,Vitamin_B12_Score,Alkaline_Score,Alkaline_Slot,Prediabetes_Score,Prediabetes_Slot,High_Protein_Score,High_Protein_Slot,T1_Pregnancy_score,T1_Pregnancy_slot,T2_Pregnancy_score,T2_Pregnancy_slot,T3_Pregnancy_score,T3_Pregnancy_slot,Postpartum_score,Postpartum_slot,0-6_Lactation_score,0-6_Lactation_slot,7-12_Lactation_score,7-12_Lactation_slot,waterRetentionScore,waterRetentionSlot,fiteloWeightLoss_Score,fiteloWeightLossSlot,lunchCheatDayRank,lunchCheatDaySlot,dinnerCheatDayRank,dinnerCheatDaySlot,cookingProficiency,cookingTime,detoxFiteloRank,detoxFiteloSlot,travel_rank,travel_slot
2894,Couscous,,NV,M,"[4,7]",340,63.36,2.88,12.24,1.4,"[""""]",6,,"[""""]","[""""]",,,-1,-1,2894,,,"Servings: 4 - 6
Prep Time: 5 Minutes
Cook Time: 5 Minutes
Total Time: 10 Minutes

Ingredients
    1¾ cups low-sodium chicken or vegetable broth (or water)
    ½ teaspoon salt
    1 tablespoon unsalted butter

    1 tablespoon extra-virgin olive oil
    1½ cups (10 oz) couscous","Instructions:

    In a medium saucepan, bring the water (or broth), salt, butter, and oil to a boil. Stir in the couscous, cover tightly with a lid, and remove from heat. Let the couscous steam for 5 minutes. Use a fork to fluff the couscous and break up any clumps. Serve warm.",,,https://www.onceuponachef.com/recipes/couscous.html,1,cup,"[""UAE""]",6,4,3,4,6,4,-1,-1,,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2895,Chicken fatteh,,NV,W,"[3,6]",677,61,32,38,5,"[""""]",9,,"[""""]","[""W""]",,,-1,-1,2895,,,"Servings : 6 servings
Prep Time : 10 minutes
Cook Time : 25 minutes

Ingredients
    ▢ 3 cups shredded chicken
    ▢ 1 15 ounce can chickpeas rinsed and drained
    ▢ ¼ cup pine nuts
    ▢ 2 tablespoons extra virgin olive oil divided
    ▢ 1 large Arabic-style pita bread cut into small pieces
    ▢ 1 tablespoon fresh chopped parsley
    ▢ 4 garlic cloves minced
    ▢ ½ teaspoon salt plus more to taste
    ▢ Freshly cracked black pepper to taste
    ▢ 32 ounces plain whole-milk yogurt","Instructions:

    Place the shredded chicken in an 8×11 serving dish. Add the chickpeas on top.
    In a large non-stick deep skillet over medium heat, dry toast the pine nuts until golden brown, about 5 minutes. Set aside in a small bowl.
    Add olive oil and the pita bread to the same skillet over medium heat and season with salt and pepper to taste. Toast, stirring frequently until golden brown and crispy, 8-10 minutes. Set aside in a medium bowl.
    Lower the heat to medium-low. Add the remaining tablespoon of olive oil to the skillet along with the garlic and salt and cook until the garlic is fragrant, about 1 minute. Pour the yogurt on top of the garlic and stir gently until the yogurt becomes warm and loosens, being careful not to let the yogurt boil, about 5 minutes.
    Pour the yogurt sauce on top of the chicken and chickpeas and stir to combine. Add the toasted pita on top, followed by the toasted pine nuts and garnish with parsley. Serve immediately.",,,https://feelgoodfoodie.net/recipe/lebanese-chicken-fatteh/,2,cups,"[""UAE""]",6,6,6,6,9,6,-1,-1,,9,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2896,Eggplant fatteh,,E,W,"[3,6]",495,55.3,25,16.8,9.2,"[""""]",9,,"[""""]","[""W""]",,,-1,-1,2896,,,"Prep Time : 10 minutes
Cook Time : 30 minutes 
Servings : 4 -6

Ingredients:
For the Eggplant:

    ▢ 1 large eggplant
    ▢ ½ cup olive oil
    ▢ 1 tsp salt
    ▢ 1 tsp sumac
    ▢ ½ tsp paprika

For the Pita:

    ▢ 4 8 "" Pita bread
    ▢ ¾ cup olive oil
    ▢ 2 tsp sumac

For the Sauce:

    ▢ 2 cups plain yogurt
    ▢ ½ cup tahini paste
    ▢ 1 garlic clove
    ▢ ½ Lemon juice of
    ▢ ¼ tsp salt or to taste

For the Garnish:

    ▢ ¼ cup slivered almonds or pine nuts
    ▢ 2 tbsp olive oil
    ▢ ¼ cup parsley finely chopped
    ▢ ¼ cup pomegranate seeds optional","Instructions:
For the Eggplant

    Preheat oven to 425F
    Chop the eggplant into 1 inch cubes and toss in the olive oil, salt, sumac, and paprika. Coat all pieces well.
    Lay eggplant in one later on a lined baking sheet (use 2 if necessary) and bake in the oven for 30 mins at 425F

For the Pita

    Cut the pita into 1 inch squares (similar size to eggplant) and coat well with the olive oil and sumac
    Lay them in one layer on a lined baking sheet and bake for 10-12 mins at 425F until golden OR fry in a non stick pan on the stove in batches (don't overcrowd) and continue stirring until golden

For the Sauce

    Add the yogurt to a bowl and whip to smooth with a fork. Add in all other ingredients and mix well
    Add a bit of water to thin out the sauce if necessary and taste and adjust

For the Garnish

    In a pan, fry the almonds or pine nuts in the olive oil until golden brown, stirring constantly
    Finely chop the parsley and peel the pomegranate if necessary

For the Layering

    Layer the Fatteh just before serving by laying the pita at the bottom, then the eggplant, sauce, and garnish.",,,https://www.hungrypaprikas.com/eggplant-fatteh/,1,cup,"[""UAE""]",3,6,6,6,9,6,-1,-1,,9,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2897,Hummus,,Ve,W,"[2,3,4,6,7]",78,5.9,5.3,2.4,6,"[""""]",6,,"[""""]","[""E"",""W""]",,,-1,-1,2897,,,"Prep Time: 10 minutes
Cook Time: 10 minutes
Total Time: 20 minutes

Ingredients:
    400 g canned chickpeas
    1 tsp garlic powder
    100 ml olive oil
    2 tbsp tahini paste
    1 tsp ground cumin
    2 tbsp lemon juice
    1 tsp sumac or paprika to garnish","Instructions

    Drain the chickpeas, but keep the juice.
    Remove the skins from the chickpeas.
    Put some chickpeas aside for garnish.
    Place the chickpeas, garlic powder, olive oil, tahini paste, cumin and lemon juice in a food processor and process until combined.
    Add some of the chickpea juice and process again until quite smooth.
    Serve in a bowl and ripple the surface. Add a drizzle of olive oil, add the chickpeas and sprinkle with a little sumac, or if you can't get hold that, with paprika.
    Serve with fresh crunchy vegetables such as sticks of carrot, celery or cucumber.",,,https://grantourismotravels.com/easy-authentic-hummus-recipe/,2,tbsp,"[""UAE""]",1,6,6,6,6,6,-1,-1,,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2898,Labneh,,V,W,"[2,3,4,5,6,7]",46.2,0.3,3.24,3.87,0,"[""""]",9,,"[""""]","[""AI"",""C""]",,,-1,-1,2898,,,"Ingredients:
    32 oz whole milk yogurt
    ¾ tsp salt

To Serve
    Early Harvest Extra Virgin Olive Oil
    Za'atar spice or chopped fresh herbs
    Warm pita bread
    Sliced vegetables of choice","Instructions:

    Pour the yogurt into a large bowl. Stir in salt.
    Line another large bowl with a linen or muslin towel (or several layers of cheesecloth.) Pour the yogurt mixture into the towel. Pick up the edges of the towel and tie at the top. Hang from a kitchen sink faucet to drain for 24 to 48 hours. (Alternatively, set a large sieve, lined with linen towel over a deep bowl. Add the yogurt mixture. Cover gently with the overhang of the linen towel, or another linen towel. Set aside on the counter, or in the fridge, to drain for 24-48 hours)
    To serve, spread labneh in a bowl and top with extra virgin olive oil, za'atar spice (or chopped fresh herbs like mint or parsley). Add warm pita and fresh veggies for dipping. Enjoy!
",,,https://www.themediterraneandish.com/homemade-labneh-recipe/,,30g,"[""UAE""]",6,2,3,2,9,2,-1,-1,,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2899,Haloumi Cheese,,V,W,"[2,3,4,5,6,7]",90,0,7.2,6,0,"[""""]",3,,"[""""]","[""AI"",""C""]",,,-1,-1,2899,,,,,,,,,30g,"[""UAE""]",1,2,1,2,3,2,-1,-1,,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2900,Akkawi Cheese,,Ve,W,"[2,3,4,5,6,7]",76,0.6,6,5.4,0,"[""""]",3,,"[""""]","[""C""]",,,-1,-1,2900,,,"Prep Time: 25 minutes
Cook Time: 35 minutes
Total Time: 1 hour
Servings: 4 people

Ingredients:
    Cow milk
    Salt
    2 Rennet capsules
    Water","Instructions:

    The bottom section of the double boiler must be filled with water; while the top of the double boiler must be filled with 1 gallon of milk. Then add 2 teaspoons of salt and two rennet capsules to the milk. Follow the directions based on the rennet capsule’s manufacturer’s instructions.
    Next, strain the milk using a strainer. Notice then that the curds are being separated from the liquid. Put the curds in cheesecloth, wrap and squeeze over the kitchen sink. Note that you must remove as much wetness as possible.
    Get the curds and form them into a ball, then put it inside a glass container or bowl. Cover the curds with the cheesecloth and set aside in a cool place. Leave it be for about two weeks, maintaining temperature of about 45⁰-50⁰
    After two weeks, get the already made cheese. Make brine solution by combining 1 lb. of salt and ½ gal. of water; and blend them well. Using cheesecloth, wife the surface of the cheese with brine solution. Cover the cheese with cloth for yet another two whole weeks.
    Repeat process for every two weeks until you reach a sum of eight weeks. If you want your cheese to be tangier, add another four weeks after the eight-week period, doing the same process",,,https://foodandmeal.com/how-to-make-akkawi-cheese,,30g,"[""UAE""]",3,2,6,2,3,2,-1,-1,,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2901,Makanek/ Beef Sausage,,NV,M,"[4,7]",89,0.3,5.1,8.1,0,"[""""]",-1,,"[""""]","[""A"",""AI"",""C""]",,,-1,-1,2901,,,"Ingredients:
    500 gram Ground Lamb
    500 gram Ground Beef
    4 cloves Cloves Garlic, Minced
    1/4 cup Chopped Parsley
    1 teaspoon Ground Cumin
    1 teaspoon Ground Coriander
    1 teaspoon Salt
    1/2 teaspoon Black Pepper","Cooking Directions:
    STEP 1.In a large bowl, mix together ground lamb, ground beef, minced garlic, chopped parsley, ground cumin, ground coriander, salt, and black pepper.
    STEP 2.Shape the mixture into sausages and refrigerate for at least 1 hour to allow the flavors to meld.
    STEP 3.Grill or pan-fry the sausages until cooked through, about 10-12 minutes, turning occasionally.",,,https://www.slurrp.com/recipes/lebanese-sausages-makanek-1619718524,,30g,"[""UAE""]",6,4,9,4,-1,4,-1,-1,,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2902,Basterma,,E,M,"[4,7]",74,2.1,2.6,9.5,0,"[""""]",3,,"[""""]","[""HP""]",,,-1,-1,2902,,,"Ingredients

For the meat:
    4 lb. eye of round beef roast
    1 lb. kosher salt

For the seasoning:

    1⁄2 cup ground fenugreek (preferably blue fenugreek)
    1⁄2 cup sweet paprika
    1 tbsp. ground allspice
    1 tbsp. freshly ground black pepper
    2 tsp. cayenne pepper
    2 tsp. ground cumin
    1 tsp. kosher salt
    8 large garlic cloves",As per blog,,,https://www.saveur.com/story/recipes/basturma/,,30g,"[""UAE""]",1,4,3,4,3,4,-1,-1,,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2903,Kibbeh naye/ Raw meat,,Ve,M,"[4,7]",43,1,1.5,6,0,"[""""]",-1,,"[""""]","[""HP""]",,,-1,-1,2903,,,"Prep: 40 minutes
Total: 40 minutes

Ingredients:
    2.2 lbs raw meat
    20 ounces fine bulgur wheat (dry weight prior to getting soaked)
    1 medium onion chopped into quarters
    1 teaspoon allspice
    1 teaspoon Lebanese 7 spices
    ½ teaspoon white pepper
    ½ teaspoon ground nutmeg
    1 tablespoon salt
    olive oil to drizzle
    water keep a bowl on hand to help you form the kibbeh dough","Instructions

    Soak the bulgar wheat in water for 40 minutes to 1 hour. The bulgar should be soft when ready. Drain the bulgar wheat.
    Split the meat into three batches. Ground the first two in a food processor and place them in a bowl. Put the third batch in the food processor along with the onion and spices and process. Add this mixture to the rest of the ground meat. 
    Add the bulgur to the meat and start kneading the mixture with your hands until everything is mixed together (it takes around 5-7 minutes so keep mixing). If you feel the mixture needs it, place your hands in a bowl of cold water and then mix again. 
    Once everything is combined, shape the mixture into a large ball. 
    Move it to the serving dish and start patting it down until it covers the entire dish. Use a fork to make lines across the kibbeh nayeh. 
    Drizzle with olive oil. Decorate with greens and/or mint. Serve & enjoy.",,,https://thematbakh.com/kibbeh-nayeh-recipe-lebanese-raw-kibbeh/,,30g,"[""UAE""]",3,4,1,4,-1,4,-1,-1,,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2904,"Kibbeh, lamb, fried",,NV,M,"[4,7]",51,5.8,2,2.8,0,"[""""]",1,,"[""""]","[""A"",""AI"",""C""]",,,-1,-1,2904,,,"Prep Time 2 hours	
Cook Time 20 minutes	
Total Time 2 hours 20 minutes	
Servings 40 Kibbehs

Ingredients
For the Kibbe filling:

    500 g minced meat
    2-3 onions chopped
    1 teaspoon 7 spice
    1.5 tablespoon Kibbeh Spices (Kamouneh Spice Mix)
    ½ teaspoon black pepper
    1 tablespoon salt
    1 cup chopped walnuts or pine nuts
    2 tablespoon sumac

For the Kibbeh casing:

    1 kilo fine bulgur wheat
    1 kilo mince meat
    2 onions
    1.5 tablespoon Kibbeh Spices
    1.5 tablespoon cornflour
    1 teaspoon 7 spice
    ½ teaspoon black pepper
    1 tablespoon salt
    Sunflower or vegetable oil","Instructions:

    Soak the bulgur wheat in enough water to cover and set aside
    To make the filling, sauté the chopped onions in regular olive oil until golden on medium low heat
    Add 500g of minced meat to the onions and cook out the meat on medium high heat
    Add the 7 spice, kamouneh spices, black pepper and salt and use the back of your wooden spoon to break up the meat
    When it is cooked turn off the heat and add the sumac and chopped walnuts. Taste to make any adjustments then cover and set aside
    Drain the bulgur wheat and add to a large bowl. Take out the kilo of meat and prepare food processor
    In several batches, add the bulgur wheat and equal amounts of meat to the food processor and process until it clumps together and starts to roll in the processor bowl.
    Roughly chop 2 onions to go in the food processor along with the 7 spices, kamouneh spices, black pepper and salt. Blitz well
    When you have combined all the meat and bulgur wheat in a bowl, add the blitzed onion spice mix and the cornflour, then bring everything together preferably with your hands
    If it is too dry add a bit of water, you don't want it too loose, sticky or crumbly but so it holds together nicely. If you don't mind tasting a bit of raw meat check a tiny bit for saltiness and adjust as necessary

    Add approx half a cup of sunflower to a small bowl which you can dip your fingers into when shaping the kibbeh to avoid sticking. Clean your table and arrange a workflow with a large clean tray, the sunflower oil, the filling and the casing mix

    Take some casing and roll into golf ball size, indent the middle then hollow out the inside with your index finger turning as you do so until you have a half shell. Add a spoon of filling and close up the casing. Compress well with your hands and shape into classic kibbeh morsels (see video)

    Line up the kibbeh on the tray until you finish the filling

    Deep fry your kibbeh morsels in sunflower or vegetable oil and serve with yoghurt dip
",,,https://zaatarandzaytoun.com/lebanese-kibbe-recipe-fried-kibbeh-morsels/,,30g,"[""UAE""]",6,4,3,4,1,4,-1,-1,,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2905,Kishik soup,,NV,M,"[3,4,5]",212.8,17.6,12.8,6.4,4.2,"[""""]",3,,"[""""]","[""""]",,,-1,-1,2905,,,"Cook Time : 5 minutes	
Servings : 2

Ingredients

    1 clove garlic
    3 tablespoon kishik
    1 tablespoon olive oil (a drizzle)
    1 cup cold water
    Small sprinkle of salt","Instructions:

    Mince or chop the garlic finely and add it to the pan along with the kishik, oil, salt and water

    Stir the kishik into the water well and then turn on the heat to medium high

    Keep stirring the kishik and cook for around five minutes until the garlic is cooked and the kishik thickens to a batter like consistency

    Taste the kishik and adjust salt if necessary

    Serve with fresh flatbreads
",,,https://zaatarandzaytoun.com/kishik-soup/,1,cup,"[""UAE""]",3,3,1,3,3,3,-1,-1,,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2906,Shishtawouk,,NV,W,"[3,4,6,7]",340,24,16,23,0,"[""""]",6,,"[""""]","[""A"",""W']",,,-1,-1,2906,,,"Prep Time 10 minutes
Cook Time 18 minutes
Total Time 28 minutes

Ingredients:
    ▢ 2 pounds boneless skinless chicken breast cut into large chunks
    ▢ ½ cup plain whole milk yogurt
    ▢ ¼ cup lemon juice
    ▢ ¼ cup olive oil
    ▢ 6 garlic cloves crushed
    ▢ 1 tablespoon tomato paste
    ▢ 1 teaspoon paprika
    ▢ ¾ teaspoon cinnamon
    ▢ ½ teaspoon oregano
    ▢ ½ teaspoon ground ginger
    ▢ 1 teaspoon salt
    ▢ ¼ teaspoon black pepper","Instructions:

    In a large bowl, add the ingredients for the marinade (yogurt, lemon juice, olive oil, garlic, tomato paste, all the seasoning and salt/pepper) and whisk to combine.
    Place the chicken cubes in the same bowl and coat the chicken in the marinade. Cover, and let rest/marinate in the fridge for at least 4 hours.
    Thread the chicken on skewers right before grilling. Add one wedge of onions to each skewer, if desired.
    Grill on medium heat for 5-8 minutes per side.
    Serve with pita bread, lettuce and garlic sauce, if desired.",,,https://feelgoodfoodie.net/recipe/shish-tawook/,,200g,"[""UAE""]",3,4,6,4,6,4,-1,-1,,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2907,Zaatar Blend,,NV,M,"[2,3,4,6,7]",10c,0,0,1,0.3,"[""""]",6,,"[""""]","[""""]",,,-1,-1,2907,,,"Ingredients:
    1 tablespoon dried thyme– crushed (or sub oregano)
    1 tablespoon cumin (see instructions about whole or ground)
    1 tablespoon coriander
    1 tablespoon toasted sesame seeds
    1 tablespoon sumac
    1/2 teaspoon kosher salt
    1/4 teaspoon or more aleppo chili flakes- optional","Instructions:

    Mix all the ingredients together in a small bowl. Store in an airtight container.
    For the most flavor, toast whole seeds (cumin seeds and coriander seeds) until fragrant, then grind. This will make the most flavorful zaatar. If you don’t have whole seeds, feel free to use ground spices.
",,,https://www.feastingathome.com/zaatar-spice-recipe/,1,tbsp,"[""UAE""]",1,4,3,4,6,4,-1,-1,,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2908,mutabal,,Ve,W,"[2,3,4,6,7]",155,20,7.5,2,1.1,"[""""]",3,,"[""""]","[""""]",,,-1,-1,2908,,,"Prep Time: 10 minutes 
Cook Time: 20 minutes 
Total Time: 30 minutes 
Servings: 4 people

Ingredients 

    ▢ 1 large purple eggplant
    ▢ ¼ cup chopped onion
    ▢ 2 tablespoons tahini paste
    ▢ 1 tablespoon freshly squeezed lemon juice
    ▢ 2 teaspoons chopped garlic
    ▢ 2 tablespoons Greek yogurt
    ▢ ½ teaspoon salt (or to taste)
    ▢ 2 tablespoons extra virgin olive oil",As per blog,,,https://www.whiskaffair.com/mutabal-middle-eastern-eggplant-dip/,,30g,"[""UAE""]",6,6,3,6,3,6,-1,-1,,3,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2909,Lebanese Bread,,V,M,"[2,4,7]",82.5,16.8,0.3,2.7,1.8,"[""""]",3,,"[""""]","[""W""]",,,-1,-1,2909,,,"Ingredients:
 
    7g sachet dry yeast
    1 tsp caster sugar
    1 1/3 cups warm water
    4 cups plain flour
    1 tsp table salt
    2 tbsp olive oil","Method:
Step 1
Place yeast, sugar and 1/3 cup warm water in a jug. Stir to dissolve yeast. Set aside in a warm place for 10 minutes or until foamy.

Step 2
Sift flour into a large bowl. Add salt. Stir to combine. Make a well in centre. Add yeast mixture, 1 tablespoon oil and remaining warm water. Mix to form a dough.

Step 3
Turn dough out onto a lightly floured surface. Knead, adding remaining oil, for 20 minutes or until smooth. Place dough in an oiled bowl. Cover. Set aside in a warm place for 2 hours or until doubled in size.

Step 4
Using your fist, punch dough down. Knead for 2 minutes or until smooth. Divide into 8 balls. Using a rolling pin, roll each ball out to a 22cm round. Layer rounds between baking paper. Set aside in a warm place for 30 minutes or until slightly puffed.

Step 5
Heat an oiled barbecue plate on high. Reduce heat to low. Cook bread, in batches, for 2 minutes each side or until lightly browned and puffed. Serve.",,,https://www.taste.com.au/recipes/lebanese-bread/bbd766fd-8649-47f3-b779-3f0007dfa6f4,,30g,"[""UAE""]",6,4,1,4,3,4,-1,-1,,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
2910,tabbouleh,,NV,W,"[2,3,4,5,6,7]",297,23.8,22.4,3.9,3.1,"[""""]",6,,"[""""]","[""""]",,,-1,-1,2910,,,"Ingredients:

    ½ cup bulgur
    1 cup diced cucumber (1 small-to-medium)
    1 cup diced tomato* (1 large)
    1 teaspoon fine sea salt, divided
    3 medium bunches curly parsley
    ⅓ cup (⅔ ounce) chopped fresh mint (optional but recommended—you can chop it in the food processor with the parsley)
    ⅓ cup thinly sliced green onion
    ⅓ cup extra-virgin olive oil
    3 to 4 tablespoons lemon juice, to taste
    1 medium clove garlic, pressed or minced","Instructions:

    Cook or soak the bulgur until tender according to package directions. Drain off any excess water, and set aside to cool.
    Meanwhile, combine the diced cucumber and tomato in a medium bowl with ½ teaspoon of the salt. Stir, and let the mixture rest for at least 10 minutes, or until you’re ready to mix the salad.
    To prepare the parsley, cut off the thick stems. Then, finely chop the parsley and remaining stems—you can do this by hand, but it’s much easier in a food processor with the standard “S” blade. Process 1 bunch at a time (it should yield about 1 cup chopped), transferring the chopped parsley to a large serving bowl before proceeding with the next.
    Add the cooled bulgur, chopped fresh mint (if using) and green onion to the bowl of parsley. Strain off and discard the cucumber and tomato juice that has accumulated in the bottom of the bowl (this ensures that your tabbouleh isn’t too watery). Add the strained cucumber and tomato to the bowl.
    In a small measuring cup or bowl, whisk together the olive oil, 3 tablespoons lemon juice, garlic, and remaining ½ teaspoon salt. Pour it into the salad and stir to combine. Taste, and adjust if necessary—add another tablespoon of lemon juice for zing, or salt for more overall flavor.
    If you have the time, let the salad rest for 15 minutes before serving to let the flavors mingle. Otherwise, you can serve it immediately or chill it for later. Tabbouleh will keep well in the refrigerator, covered, for up to 4 days.
",,,https://cookieandkate.com/best-tabbouleh-recipe/,1,cup,"[""UAE""]",3,7,6,7,6,7,-1,-1,,6,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
